ladin	italian	english	resource
E Aa-gar da sia pèrt ge aea ensegnà chisc segnèi co la bocia a si compagnes ciaciadores.	Ed Aa-gar a sua volta aveva insegnato questi suoni con la bocca ai suoi amici della pianura.	And Aa-gar in turn had taught these sounds with his mouth to his friends from the plains.	amervolesse
Per chel che no vegn pervedù da chest artìcol, vegn aplicà la normes de l'ordenament regionèl di enc locai en materia de no compatibilità e no litabilità per i conseieres de comun.	Per quanto non previsto da questo articolo si applicano le norme dell'ordinamento regionale degli enti locali in materia di incompatibilità ed ineleggibilità per i consiglieri comunali.	For all matters not provided for in this Article, the rules of the regional regulation of local authorities on incompatibility and ineligibility for municipal councillors shall apply.	fascia
Le "antiche libertà" tanta outes declarèdes o pertendudes dai fascegn no fèsc referiment a la mencianza de na autorità soravìa, per centenees stat chela del prinz piscop de Persenon a chel che aboncont i ge à semper desmostrà lealtà.	Le "antiche libertà" tante volte dichiarate o pretese dai fassani non fanno riferimento all'assenza di un'autorità superiore, per secoli il principe vescovo di Bressanone, al quale hanno dimostrato sempre profonda lealtà.	The 'ancient freedoms' so often declared or demanded by the Saxons do not refer to the absence of a higher authority, for centuries the prince-bishop of Brixen, to whom they have always shown deep loyalty.	fascia
Te vigni cajo, l'ombolt e l'assessor competent de la materia pel semper tor pèrt, zenza derit de stima, a la adunanzes de la comiscions ence se no i é anter i comembres.	In ogni caso, il sindaco e l'assessore competente per materia hanno sempre la facoltà di partecipare, senza diritto di voto, alle riunioni delle commissioni, quand'anche non ne facciano parte.	In any case, the mayor and the councillor responsible for the matter are always entitled to participate, without the right to vote, in the meetings of the commissions, even if they are not members of them.	moena
L revisor di conc pel dèr jù constatazions e proponetes per n mior ejit, na miora produtività e economizità tel manejament di servijes publics.	Il revisore dei conti può formulare rilievi e proposte per una migliore adeguatezza, produttività ed economicità nella gestione dei servizi pubblici. 	The auditor may make observations and proposals for better adequacy, productivity and economy in the management of public services. 	moena
- Us-ter... i rua!	- Us-ter... arrivano!	- Us-ter... they're coming!	amervolesse
Composizion e funzionament del Consei di ombolc	Composizione e funzionamento del Consei di ombolc	Composition and Functioning of the Ombolc Board	fascia
Per ades.	Per ora.	At the moment.	volf1
BILINGUISM TE FASCIA	BILINGUISMO IN VAL DI FASSA 	BILINGUALISM IN THE FASSA VALLEY 	intervento1
Se la mozion vegn aproèda, l Consei vegn desfat e vegn nominà n comissèr.	Se la mozione è approvata il consiglio è sciolto e viene nominato un commissario. 	If the motion is passed, the council is dissolved and a commissioner is appointed. 	moena
Smok se à sconet tel bosch.	Smok si è nascosto nel bosco.	Smok has hidden in the woods.	montipallidi
Se serf comeda ite i ores.	Rifila i bordi se necessario.	Trim the edges if necessary.	montipallidi
Smok l'à ence entesseà l pìcol lech: vèrda che èga paza e neigra!	Smok ha anche inquinato i laghetto: guarda che nero che è diventato!	Smok has also polluted the small lake: look how black it has become!	montipallidi
L ciaciador ge à orì l venter al stambech per ge trèr fora l tampin.	Il cacciatore aprì il ventre dello stambecco per estrarne le viscere.	The hunter opened the ibex's belly to extract its entrails.	amervolesse
Pian pian, per no fèr rumor, l bez  se à tirà apede l'om che tegnìa strent l'archet.	Piano piano, per non fare il minimo rumore, il ragazzo si avvicinò all'uomo che stringeva nervoso l'arco.	Slowly, so as not to make the slightest noise, the boy approached the man who was nervously clutching his bow.	amervolesse
nia m'é restà del daite, de n ciaut unisson mer douc totel desche cuna mia torona	nulla mi è rimasto delle interiora, di un caldo unisono mare dolce totale come culla mia sferica	nothing has been left to me of her womb, of a warm unison sweet total sea like a round cradle of mine	amervolesse
Tres l'ejercizie consorzià de funzions e servijes soradac o che partegn al Comun, col s'emprevaler de la "Comunità montana" o de l'ent mesan pervedù dal D.P.R. dai 22 de mèrz 1974, nr 279, o ence tres delega a chest ent de funzions o servijes de Comun.	Mediante l'esercizio in forma associata di funzioni e servizi, propri o delegati, avvalendosi della comunità montana o dell'ente intermedio previsto dal D.P.R. 22 marzo1974, n. 279, o anche mediante delega a questo di funzioni o servizi comunali.	By means of the associated exercise of functions and services, either their own or delegated, using the mountain community or the intermediate body provided for by Presidential Decree No 279 of 22 March 1974, or also by delegating municipal functions or services to it.	moena
L consei de comun.	Il consiglio comunale.	The city council.	moena
I desvalives limic emponui a la fin del XVIII centené, dant de dut la libertà de se binèr adum tel pien comun, à soscedà protestes e rebelions e i à metù al luster la crisa de n sistem che é jit fora, del 1803, canche l'é stat tout jù l prinzipat episcopal e la istituzions che l'era apede.	Le diverse limitazioni imposte alla fine del XVIII secolo, prima fra tutte la libertà di riunirsi in pien comun, causarono proteste e rivolte ed evidenziarono la crisi di un sistema che scomparve, nel 1803, con la soppressione del principato vescovile e delle istituzioni ad esso legate.	The various restrictions imposed at the end of the 18th century, first and foremost the freedom to assemble in pien communes, caused protests and revolts and highlighted the crisis of a system that disappeared in 1803 with the suppression of the bishop's principality and its related institutions.	fascia
En chel an i "frati bianchi" de l'órden de Sèn Pelegrin te la Èlpes Apuanes à abù da la regola de Moena n toch de seadic e de bosch su la mont de Aloch, ades pas de S. Pelegrin, per fèr sù n ospizio col fin de ge dèr alberch ai viajadores che aessa abù da passèr la mont.	In quest'anno i "frati bianchi" di San Pellegrino nelle Alpi Apuane ottennero dalla regola di Moena "un pezzo di terreno prativo e boschivo nella zona di Alloch", ora passo di San Pellegrino, per costruirvi un ospizio allo scopo di accogliervi i viandanti che dovevano attraversare il passo.	In this year, the 'white friars' of San Pellegrino in the Apuan Alps obtained from the rule of Moena 'a piece of meadow and woodland in the Alloch area', now the San Pellegrino Pass, to build a hospice to welcome travellers who had to cross the pass.	moena
Tel cajo de candidat fémena, la sotscrizions che serf les é arbassèdes a sessanta.	Nel caso di candidato appartenente al genere femminile le sottoscrizioni necessarie sono ridotte a sessanta.	In the case of a candidate belonging to the female gender, the required subscriptions are reduced to sixty.	fascia
I documents cognosciui ne porta a dir en ùltima che la comunità e la Pieif de Fascia lurèa una apede l'autra per l ben de duc.	I documenti conosciuti ci portano alla conclusione che la comunità e la Pieve di Fassa operavano con una stretta interdipendenza e in vista di un concreto e palese beneficio di tutti.	The known documents lead us to the conclusion that the community and the Pieve di Fassa operated with a close interdependence and in view of a concrete and obvious benefit for all.	fascia
La descuscion e a aproazion del document che contegn la direzions generales de goern.	La discussione ed approvazione del documento contenente gli indirizzi generali di governo.	The discussion and approval of the document containing the general guidelines for government.	moena
Proponeta de la direzions generales de goern: descuscion e aproazion.	Proposta degli indirizzi generali di governo: discussione ed approvazione.	Proposal of the General Guidelines for Government: discussion and approval.	moena
La cèsa de Martina, enveze la é te n post che l'é mìngol più dalonc.	Martina invece viene da più lontano.	Whereas Martina comes from further away.	montipallidi
Na comiscion de esperc, nominèda dal Consei de Comun, dèsc jù so benstèr de amiscion del referendum.	Una commissione di esperti, nominata dal consiglio comunale, esprime il giudizio di ammissibilità del referendum.	A commission of experts, appointed by the municipal council, passes judgement on the admissibility of the referendum.	moena
Con chisc doi strumenc se perveit de poder comedèr fora i fai de scritura, de ortografia e de morfologia endèna che chi scrif n test, opura te n secont moment, de poder ge jir sora a n test jà scrit.	Le funzionalità previste da questi due strumenti prevedono la correzione di errori di digitazione, di ortografia e di morfologia direttamente durante la redazione di un testo, oppure in un secondo momento, sottoponendo a verifica un testo già scritto.	The functionalities provided by these two tools include the correction of typing, spelling and morphology errors directly during the drafting of a text, or at a later stage by checking a text that has already been written.	intervento1
L'ombolt, o so rapresentant, dèsc fora ordenanzes de carater ordenèr, aldò de la normes legislatives e regolamentères.	Il sindaco, o suo delegato, emana ordinanze di carattere ordinario, in applicazione di norme legislative e regolamentari. 	The mayor, or his delegate, issues ordinances of an ordinary nature, in application of laws and regulations. 	moena
I parezipanc i à podù ence se fèr ite coi neves strumenc informatics de elaborazion linguistica (dizionères eletronics, banches dac on-line, coretores ortografics, e c.i)luré fora te chisc ultimes egn a didament del lurier de traduzion aministrativa.	I partecipanti hanno potuto inoltre familiarizzare con i nuovi strumenti informatici di elaborazione linguistica (dizionari elettronici, banche dati on-line, correttori ortografici, ecc.) predisposti in questi ultimi anni a supporto dell'attività di traduzione.	The participants were also able to familiarise themselves with the new computerised language processing tools (electronic dictionaries, on-line databases, spell-checkers, etc.) developed in recent years to support translation activities.	intervento1
L'encèria de direzion pel vegnir renovèda o revochèda da l'ombolt dò d'aer scutà sù la Jonta e la minonga del secretèr de Comun, ence dant che sie fora l mandat, aldò de la leges, su la basa di resultac arjonc, di livìe de fazion arjonc e aldò di besegnes de moviblità; l regolament defenesc avisa la modalitèdes per l renovament e per la revocazion de l'encèria.	L'incarico di direzione può venire rinnovato o revocato dal sindaco sentita la giunta e sentito il parere del segretario comunale, anche prima della scadenza, a termini di legge, in base ai risultati raggiunti, ai livelli di efficienza conseguiti ed alle esigenze di mobilità; il regolamento definisce nel dettaglio le modalitàper il rinnovo e per la revoca dell'incarico. 	The office of director may be renewed or revoked by the mayor after consultation with the council and after hearing the opinion of the municipal secretary, even before its expiry date, in accordance with the law, on the basis of the results achieved, the levels of efficiency attained and the need for mobility; the regulation defines in detail the modalities for the renewal and revocation of the office. 	moena
I regolamenc.	Regolamenti.	Regulations.	moena
Funzionament del Consei general	Funzionamento del Consei general	Operation of the Consei General	fascia
L'ombolt pel revochèr un o più assessores col dèr jù na comunicazion motivèda al Consei.	Il sindaco può revocare uno o più assessori, dandone motivata comunicazione al consiglio.	The mayor may dismiss one or more councillors, giving reasoned notice to the council.	moena
La proposta, argoment de la domana de referendum, vegn entenuda aproèda se l'arjonc l 50 per cent più un de la stimes valevoles.	La proposta oggetto del quesito referendario si intende approvata se ottiene il cinquanta per cento più uno dei voti validi.	The proposal subject to the referendum question is deemed approved if it obtains fifty per cent plus one of the valid votes.	moena
Chest che te ès te man l'é n libret pien e rès de jeghes e de idees, che de gra a tia fantasìa podarà doventèr n mond straordenèr da descorir: l mond de la Dolomites che à inom ence Crepes Spavides.	I fogli che hai in mano sono un libretto ricco di giochi e di spunti, che con la tua fantasia si trasformeranno in un favoloso mondo tutto da scoprire: il mondo delle Dolomiti dette anche Monti Pallidi.	The booklet you have in your hand offers a wealth of games and ideas that with a little imagination can be transformed into a fabulous world just waiting to be discovered: the world of the Dolomites, known as the Pale Mountains.	montipallidi
Ti secoi dò la "vera retica" (15 i.C.) l teritorie de Moena ge va dò al medemo destin del raion de l'Àdesc e de la Dolomites che rua sot al possess de l'Impèr Roman, da olache pea via chela particolèra formazion linguistica dita reto-romana o ladina.	Nei secoli successivi alla "guerra retica" (15 a.C.) il territorio di Moena partecipa delle vicende che vedono l'inserimento dell'area atesina e dolomitica nell'orbita dell'Impero Romano, da cui ha origine la formazione dell'entità linguistica reto-romana o ladina.	In the centuries following the 'Rhaetian War' (15 B.C.), the Moena territory took part in the events that saw the inclusion of the Atesine and Dolomite areas in the orbit of the Roman Empire, which led to the formation of the Rhaeto-Roman or Ladin linguistic entity.	moena
L'atività aministrativa del Comun ge va dò ai prinzipies de la economizità, de la fazion e la publizità, del control, de la partezipazion, de la colaborazion, de la semplificazion, de la spedienza, de l'emparzialità, e de la responsablità.	L'attività amministrativa del Comune si ispira a criteri di economicità, efficacia e pubblicità, di trasparenza, partecipazione, collaborazione, semplificazione, celerità, imparzialità e responsabilità.	The administrative activity of the municipality is guided by criteria of cost-effectiveness, effectiveness and publicity, transparency, participation, collaboration, simplification, speed, impartiality and accountability.	moena
Per prinzip, duc chi che à enteress pel aer azess ai documenc aministratives del Comun, di enc, de la istituzions e de la aziendes dependentes. L vegn fat ecezion per chi documenc scuerc da secret o da proibizion de publicazion su la basa de la leges en forza.	In via di principio, chiunque vi abbia interesse può accedere ai documenti amministrativi del Comune, degli enti, delle istituzioni e delle aziende da esso dipendenti, fatta eccezione per quelli coperti da segreto o da divieto di divulgazione ai sensi delle leggi vigenti. 	In principle, anyone with an interest may have access to the administrative documents of the municipality, bodies, institutions and companies dependent on it, with the exception of those covered by secrecy or prohibited from disclosure under the laws in force. 	moena
Ai conseieres ge pervegn na endenità de presenza per tor pèrt a vigni sentèda de Comun valiva al setanta per cent de la mesura mascima fissèda da la L.R. 1/93.	Ai consiglieri spetta un'indennità di presenza per la partecipazione ad ogni adunanza pari al settanta per cento della misura massima stabilita dalla L.R. 1/93.	Councillors are entitled to an attendance allowance for attending each meeting equal to seventy per cent of the maximum amount established by Regional Law 1/93.	moena
Smok à fat dans ence chiò.	Smok ha combinato guai anche qui.	Smok has caused problems here too. 	montipallidi
Demò tel cajo che la leges o i statuc pervedessa ence la designazion di rapresentanc de la mendranza, l Consei, semper te na sentèda publica, dèsc jù sia nominazion col sistem de stima limitèda, aldò de la modalitèdes pervedudes dal regolament.	Soltanto quando leggi o statuti richiedano la designazione anche di rappresentanti della minoranza consiliare, il consiglio, sempre in seduta pubblica, procede alla nomina col sistema a voto limitato, secondo le modalità stabilite dal regolamento.	Only when laws or statutes also require the appointment of representatives of the council's minority, the council, again in public session, proceeds with the appointment under the limited vote system, in accordance with the procedures laid down in the Rules of Procedure.	moena
Tel cajo che l renunzie o che l desmete da l'encèria, va ite l candidat procurador che ge vegn dò te la graduatoria per órden de stimes.	Nel caso di rinuncia o cessazione dalla carica subentra il candidato procurador che lo segue in graduatoria per ordine di voti.	In the event of resignation or termination of office, the candidate procurador following him in the order of votes shall take over.	fascia
E l joen Us-ter, na dì, l'aessa tout sie post.	E il giovane Us-ter, un giorno, avrebbe preso il suo  posto.	And the young Us-ter would one day take his place.	amervolesse
L projet Aventures su la Crepes Spavides l'é metù adum da:	Il progetto Avventure sui Monti Pallidi è composto da:	The Adventures in the Pale Mountains project is made up of :	montipallidi
L'adempiesc dut belimpont.	Adempie a tutto in modo corretto.	It fulfills everything correctly.	volf1
Pia la ales olache te veides i pontolins acioche la fegura stae en pe.	Piega le alette lungo le linee puntinate per farlo stare in piedi.	Bend the tabs along the dotted lines to make it stand up.	montipallidi
La Jonta é l'organ de goern del Comun e, te sia funzion, la laora per la realisazion del program, tel chèder de la direzions generales metudes dantfora dal Consei de Comun.	La giunta è l'organo di governo del Comune e, come tale, opera per l'attuazione del programma, nel quadro degli indirizzi generali espressi dal consiglio comunale.	The junta is the governing body of the municipality and, as such, works for the implementation of the programme, within the framework of the general guidelines expressed by the municipal council.	moena
Tegnan cont de la normes de lege che disc autramenter, l Consei de Comun à competenza de meter a jir desvaliva sort de colaborazion e de sociazion. L Consei cogn delibrèr per solit co la stima a favor de la maoranza assoluta de si comembres, che fossa i conseieres assegné al Comun. L'é competenza del Consei ence aproèr i ac de costituzion de la formes de colaborazion, dèr jù l'argoment de chesta formes e la rejons tecniches, economiches e de organisazion.	Fatte salve eventuali norme di legge in senso difforme, la competenza a dar luogo alle varie forme collaborative ed associative spetta al consiglio comunale, che deve deliberarle, di norma, col voto favorevole della maggioranza assoluta dei suoi componenti, intendendosi per tali i consiglieri assegnati al Comune.	Without prejudice to any legal provisions to the contrary, the competence to give rise to the various forms of cooperation and association lies with the municipal council, which must deliberate on them, as a rule, with the favourable vote of the absolute majority of its members, i.e. the councillors assigned to the municipality.	moena
Tel cajo de referendum abrogatif, l'aproazion de la domana del referendum l'à efet de anulament de l'at o de na pèrt de chest, desche da argoment del referendum enstes.	Nel caso di referendum abrogativo, l'approvazione del quesito referendario produce l'effetto dell'annullamento dell'atto o della parte di esso oggetto del medesimo referendum.	In the case of an abrogative referendum, the approval of the referendum question has the effect of annulling the act or the part thereof that is the subject of the referendum.	fascia
