ladin	italian	english	resource
Chiò la mùsega fèsc n vèrech endò: la comenta, la ge dèsc  forma ai ambienc sonores de la scenes e la lascia degorer la  narazion.	Qui la musica qui fa un passo indietro: commenta, crea gli  ambienti sonori delle scene e lascia scorrere la narrazione.	Here the music takes a step backward: it comments, creates the  sound sceneries and lets the narrative flow.	amervolesse
Amò amò de più sfioreme con ti pensier percheche ge podesse l strenjer l posseder l fajan goder de la pieneza mia.	Ancora ancora di più sfiorami con il tuo pensiero perché io possa stringerlo possederlo facendolo godere della pienezza mia.	More and more touch me with your thought so that I can hold it tight possess it so that it enjoys this fullness of mine.	amervolesse
Te ge  dejideree  te strenjer con mi susc' che sfadiamenter apede te dejiderea fort per te detegnir.	Te io  desidero stringerti con i miei aliti che faticosamente accanto a te bramano per detenerti.	It's  you I desire to embrace you with my sighs that strain to be beside you to hold you.	amervolesse
Amò reston adum te chest gordeon che desche orgasm douc jentil e silent ne sepera dal rest dut chiò ge me sente con te liede.	Ancora restiamo uniti in questo vortice che come orgasmo dolce lieto e silenzioso ci separa dal resto tutto qui io mi sento con te libero.	Still we hang together in this whirl,  which like an orgasm, sweet gentle and silent, keeps us apart from the rest here with you I do feel free.	amervolesse
tel scur daite volesse viver, per aer un demò referiment, me instes, un demò mond l mie.	nel buio dentro vorrei vivere, per avere un unico riferimento, me stesso, un unico mondo il mio.	I wish I could live closed in the dark to have just one reference, myself, just one world, my own.	amervolesse
Zenza amer, zenza odier zenza dut, soul con me instes Ge demò.	Senza amare, senza odiare  senza tutto, solo con me stesso Io solo.	Without loving,  without hating without anything, alone with no one but me.	amervolesse
Mai più l recort de te posse mia vita descanceler	Mai più il ricordo di te possa la mia vita cancellare	Never may the memory of you be erased by my life	amervolesse
Tu desche frut insaorì desche fiama de ciandeila che demò con douces jentii, sciusciuranc susc' quotidians pel mie cher te tegnir viva te l'univers intim mie, te sentian in acort, tei egn te la vita tremer daite.	Tu come frutto saporito come fiamma di candela che con solo dolci soavi, sussurranti aliti quotidiani può il mio cuore tenerti viva nell'universo intimo mio, sentendoti nel silenzio negli anni nella vita tremare dentro.	You are like a savouring fruit like a candle flame only with  sweet gentle, whispering daily sighs my heart can keep you alive in the intimate universe of mine, feeling you  trembling inside in silence, through the years in life.	amervolesse
resta chiò con me olache l temp sà speter e ge mudaré i ciampes de forment te steiles e cometes i no ne troarà mai più.	resta qui con me, dove il tempo sa aspettare ed io muterò i campi di frumento in stelle e comete non ci troveranno mai più.	stay here with me where time can wait, and I will change the fields of wheat into stars and comets they will never  find us again.	amervolesse
Amer volesse che fosse posseder demò per me te e tie respir.	Amare vorrei che fosse possedere solo per me te ed il tuo respiro.	I wish love could be the whole possession of you and your breath.	amervolesse
Volesse che fosse tia perjon, n'ijola n let che sgola ta la liedeza del ciel 	Vorrei che fosse la tua prigione, un'isola un letto che vola nell'immensità del cielo	I wish it could be your prison, an island a bed flying  in the free and never-ending sky.	amervolesse
L mond dò, soul nosc	Il mondo poi, solo nostro	And the world, just of our own	amervolesse
Volesse te aer te duta.	Vorrei averti te tutta.	I wish I could have the whole of you.	amervolesse
nia m'é restà del daite, de n ciaut unisson mer douc totel desche cuna mia torona	nulla mi è rimasto delle interiora, di un caldo unisono mare dolce totale come culla mia sferica	nothing has been left to me of her womb, of a warm unison sweet total sea like a round cradle of mine	amervolesse
Un univers laite per ela, per me assolut, inlouta sie corp era ence chel mie.	Un universo dentro per lei, per me assoluto, allora il suo corpo era anche il mio.	An inner universe for  her, absolute to me, her body was also mine then.	amervolesse
Del piajegol saor adorné dò d'improvis douciament si tec rechiam abituel de più che vitel nutriment	Del soave sapore adornati poi d'improvviso dolcemente i suoi seni richiamo abituale di più che vitale nutrimento	And suddenly the sweet flavour softly adorned her breast, usual call of  a most vital nourishment	amervolesse
L'aura d'intorn a ela profumea de amor e chest fajea nascer gran l dejiderie.	L'aria attorno a lei profumava di amore e ciò rendeva grande il desiderio.	The air around her was filled with the scent of love and this made desire stronger and stronger.	amervolesse
De ela da semper nia m'é restà tel corp, demò te la ment tel cher, mie l besegn de viver  per semper inlengia te.	Di lei da sempre nulla mi è rimasto nel corpo, solo nella mente nel cuore, mia la brama di vivere per sempre accanto a te.	Nothing since ever has been left to me in my body, only in my mind, in my heart, my craving for living for ever beside you.	amervolesse
Acà 8 mile egn, apede i leghes de Colbricon	8 mila anni fa, presso un bivacco del Mesolitico	8,000 years ago, at a Mesolithic bivouac	amervolesse
Aa-gar se n stajea cet, cucià jù dò n spiz de crepa da olache l podea veder l lech te la lum  spavida de la doman.	Aa-gar se ne stava immobile, rannicchiato al riparo dello sperone di roccia dal quale poteva  osservare il lago nella luce diafana dell'alba.	Aa-gar stood motionless, huddled in the shelter of the rock outcrop from which he could observe the lake in the diaphanous light of dawn.	amervolesse
Prest fossa ruà i stambeches a se dabirèr.	Gli stambecchi, tra poco, sarebbero arrivati per  abbeverarsi.	The ibexes would soon come to water.	amervolesse
Aa-gar, chel'outa, l'era jit sù su per chi monc demò con sie fi Us-ter, che dombrèa jà diesc  "invergn".	Aa-gar, quella volta, era salito in montagna accompagnato da Us-ter, il suo figliolo che contava  già dodici "inverni".	Aa-gar, that time, had climbed the mountain accompanied by Us-ter, his son who already counted twelve 'winters'.	amervolesse
Per sòlit, l ciaciador del pian se tirèa enscin sai pìcoi leghes di "Monc-che-se-en-tenc-de-sanch" ensema a de etres omegn de sia tribù.	Di solito il cacciatore della pianura si spingeva fino ai laghetti delle "Montagne che si tingono di sangue" in compagnia degli altri uomini della sua tribù.	Usually, the hunter from the plains would go as far as the lakes of the 'Bloodstained Mountains' in the company of the other men of his tribe.	amervolesse
Ma Aa-gar se aea pissà che l'aessa ence podù fèr enstes.	Aa-gar, però aveva deciso che avrebbe potuto anche fare da solo.	Aa-gar, however, had decided that he could also go it alone.	amervolesse
Perché pa spartir la cèrn con diesc  o doudesc ciaciadores, canche con Us-ter, te dotrei viajes, l ge aessa dat da magnèr per dut  l'invern a Paa-ta, sia fémena, e a U-rir, sia veia mère?	Perché dividere la preda con  dieci-dodici cacciatori, s'era detto, quando con il giovane Us-ter, in due o tre viaggi, avrebbe  dato da mangiare per tutto l'inverno a Paa-ta, la sua donna, e ad U-rir, la vecchia madre?	Why share the prey with ten to twelve hunters, he said to himself, when with the young Us-ter, in two or three trips, he would feed Pa-ta, his woman, and U-rir, his old mother, all winter long?	amervolesse
Us-ter dormìa amò, cucià jù tel bivach fat sù a la bona la sera dant.	Us-ter dormiva ancora, accoccolato presso il bivacco costruito in tutta fretta la sera precedente.	Us-ter was still asleep, huddled at the bivouac hastily built the night before.	amervolesse
Aa-gar e sie fi i era rué sai doi leghes canche l soreie l'era jà dò che l tocèa la pontes più autes  di "Monc-che-se-entenc-de-sanch".	Aa-gar e suo figlio erano giunti in vista dei due laghi quando il sole stava già toccando le cime  più alte delle "Montagne che si tingono di sangue".	Aa-gar and his son had come in sight of the two lakes when the sun was already touching the highest peaks of the 'Bloodstained Mountains'.	amervolesse
L viac l'era stat lonch e sfadious: trei dis zenza mai se fermèr, demò ogni tant a binèr sù bòzoles e "fruc-de-la-tera": chi śai, soraldut, i era bogn, douces, tendres.	Il viaggio era stato lungo e faticoso: tre giorni di marcia, senza mai fermarsi se non per raccogliere  bacche e "frutti della terra": quelli gialli, soprattutto, erano buoni, dolci, teneri.	The journey had been long and tiring: three days of walking, never stopping except to pick berries and 'fruits of the earth': the yellow ones, above all, were good, sweet, tender.	amervolesse
Aa-gar l n'aea empienì  na tascia entrìa e l se n'aea magnà n bel pugn, en chela sera, ensema a Us-ter.	Aa-gar ne aveva  riempito una saccoccia intera, sgranocchiandone un bel pugno, quella sera, assieme ad Us-ter.	Aa-gar had filled a whole sack with them, munching on a big handful that evening together with Us-ter.	amervolesse
Dò, bon teis, "Sera i eies..." l ge aea dit a sie fi.	Poi, a pancia piena, "Chiudi gli occhi ..." aveva sussurrato al figlio.	Then, with her belly full, 'Close your eyes ...' he had whispered to his son.	amervolesse
Us-ter, obedient desche zenza, l se aea fat ite  tel ciaut de na pelicia, e l se aea sobito endromenzà.	Us-ter, obbediente come sempre, si era raggomitolato al tepore d'una folta pelliccia, prendendo subito sonno.	Us-ter, obedient as ever, had curled up in the warmth of a thick fur coat, immediately falling asleep.	amervolesse
L'era stat l veie père a ge ensegnèr a Aa-gar coche se podea se entener co la ousc.	Era stato il vecchio padre ad educare Aa-gar sul modo di comunicare con la voce.	It was the old father who had educated Aa-gar on how to communicate with the voice.	amervolesse
N son  lonch e forinsom na craugnèda volea dir "sera i eies"; n auter più avert e serà sù de colp per  dir "rua la besties"; n scìgol per dir "é seit" e coscita inant.	Un suono  lungo seguito da un grugnito finale per dire "chiudi gli occhi"; un altro più aperto e interrotto  all'improvviso per indicare l'arrivo della selvaggina; un fischio acuto per dire "ho sete" e così via.	A long sound followed by a final grunt to say 'close your eyes'; another more open and suddenly interrupted sound to indicate the arrival of the game; a high-pitched snap to say 'I'm thirsty' and so on.	amervolesse
E Aa-gar da sia pèrt ge aea ensegnà chisc segnèi co la bocia a si compagnes ciaciadores.	Ed Aa-gar a sua volta aveva insegnato questi suoni con la bocca ai suoi amici della pianura.	And Aa-gar in turn had taught these sounds with his mouth to his friends from the plains.	amervolesse
Ades, canche i jìa a ciacia ensema,  i podea se entener ence zenza fèr moc co la mans.	Adesso, quando cacciavano insieme, potevano capirsi anche senza muovere le mani.	Now, when they hunted together, they could understand each other even without moving their hands.	amervolesse
La sera dant, apenamai che l fià de Us-ter se aea fat più chiet, l ciaciador aea enjignà sia  èrmes.	La sera prima, non appena il respiro di Us-ter si era fatto più tranquillo, il cacciatore aveva preparato le armi.	The night before, as soon as Us-ter's breathing had become quieter, the hunter had prepared his weapons.	amervolesse
Fora de sot la pel de ors che ge corìa la spales e l piet, l'aea tirà fora n pugn de pìcoi  sasc spic: Aa-gar l'era cognosciù te dut l pian per la pontes de sia frizes.	Da sotto la pelle d'orso, che gli copriva le spalle e lo stomaco, aveva tolto una  manciata di sassolini appuntiti: Aa-gar era famoso in tutta la pianura per le punte delle sue frecce.	From under his bearskin, which covered his shoulders and stomach, he had removed a handful of sharp pebbles: Aa-gar was famous throughout the plains for his arrowheads.	amervolesse
Les era più pìcoles  de n polesc, ma les fenìa co na ponta tant sotila e dura che jà tropa outes l'era stat bon de  ferir n ors da la pel desche l legn.	erano minuscole, più piccole di un pollice, ma terminavano in una cuspide talmente sottile e  dura, che già numerose volte era riuscito a ferire un orso dalla pelle dura come il legno.	were tiny, smaller than an inch, but terminated in a cusp so thin and hard that it had already managed to wound a bear with skin as tough as wood numerous times.	amervolesse
L les aea fates sù propio el enstes: seghitan a bater con n corn de cerf su n tòch de selesc,  l'om l'era stat bon, n mìngol a l'outa, de fèr pontes semper miores.	Le aveva costruite lui stesso: battendo ritmicamente con un corno di cervo su un pezzo di selce,  l'uomo aveva un po' alla volta ottenuto delle punte sempre più perfette.	He had made them himself: by rhythmically beating a deer horn on a piece of flint, the man had gradually obtained increasingly perfect points.	amervolesse
La lum freida de la doman doentèa semper più chièra soravìa l pìcol lech, ma i stambeches  no se lascèa spièr.	La luce fredda dell'alba si andava rischiarando all'altezza del laghetto ma gli stambecchi tardavano a farsi vedere.	The cold light of dawn was brightening at the height of the pond but the ibexes were slow to appear.	amervolesse
Ruarèi?	Sarebbero arrivati?	Would they have arrived?	amervolesse
Chel gros bachet che ge era stat de aiut per se rampeèr su per chi crepes, en chela doman  fossa doentà l'archet più prezis e potent che n om aessa mai abù.	Il grosso bastone, che lo aveva aiutato ad arrampicarsi su per la montagna, quella mattina  sarebbe diventato l'arco più preciso e potente che mai un uomo avesse posseduto.	The big stick, which had helped him climb up the mountain, would that morning become the most precise and powerful bow a man had ever possessed.	amervolesse
Aa-gar tol na striscia de  curam entorcolèda, longia e forta, l la engropa da na man sunsom al bachet e l sforza coi  brac, dobian l legn fi n béleche che l se rompìa: dapodò co la mans sveltes e segures l'engropa l'auter ciavez de la corda da l'autra man del bachet: l'archet l'era fat e vertie per esser  durà.	Aa-gar  prese una lunga e robusta striscia di cuoio intrecciato; ne annodò un capo alla cima del bastone e fece forza con le braccia, piegando il legno fino al limite di rottura: poi con mani veloci e sicure annodò l'altro capo della striscia all'estremità opposta ed ecco l'arco pronto ad  entrare in funzione.	Aa-gar took a long, strong strip of woven leather; he knotted one end of it to the top of the stick and forced it down with his arms, bending the wood to the breaking point: then with quick, sure hands he knotted the other end of the strip at the opposite end and there was the bow ready to go.	amervolesse
Amò chela net Aa-gar aea proà l'èrma.	Ancora quella notte Aa-gar aveva provato l'arma.	Still that night Aa-gar had tested the weapon.	amervolesse
L lech olache jìa i stambeches a beiver l'era dalonc mez  tiro de friza e Aa-gar no falèa mai te la mira.	Il lago al quale gli stambecchi sarebbero andati ad abbeverarsi distava mezzo tiro di freccia: ed Aa-gar aveva una mira formidabile.	The lake to which the ibexes would go to water was half an arrow's length away: and Aa-gar had a formidable aim.	amervolesse
No l'aessa abù problemes a tochèr la bestia.	Non  avrebbe avuto problemi a colpire la preda.	He would have had no problem hitting his prey.	amervolesse
Rué sal bivach, Us-ter ge aea domanà a sie père: - E la puza da om?	Appena arrivati al bivacco, aveva chiesto al padre: - E la puzza d'uomo?	As soon as we arrived at the bivouac, he asked his father: - What about the smell of man?	amervolesse
Aa-gar aea entenù: l fi aea tema che la besties aessa snasà sie odor, la dì dò dadoman.	Aa-gar aveva capito: il figlio temeva che la preda avrebbe annusato il loro odore, all'alba del  giorno dopo.	Aa-gar understood: the son feared that the prey would smell their scent at dawn the next day.	amervolesse
Co la  man l ge aea moscià a Us-ter l sas olache dovìa i fossa stac sora net.	Con un breve cenno aveva indicato ad Us-ter la roccia dietro la quale avrebbero  pernottato e mentre il figlio era andato a deporre i bastoni e le pelli colme di "frutti della terra", 	With a brief nod, he pointed Us-ter to the rock behind which they were to spend the night, and while the son had gone to lay down his sticks and skins full of 'fruits of the earth', 	amervolesse
Endèna che l fi pojèa jù  i bachec e la tasces pienes de "fruc-de-la-tera", Aa-gar l'era jit jù apede i leghes.	Aa-gar era sceso ai laghetti.	Aa-gar had gone down to the ponds.	amervolesse
Aló l se aea  beù de bela bocèdes de èga freida, trop miora che chela tebia e mìngol doucejina del pian;  dò l se aea metù a sfrugnèr jabas te anter i sasc.	Lì aveva bevuto lunghe sorsate di acqua gelida, tanto più buona di  quella tiepida e dolciastra della pianura; poi s'era messo a frugare tra i sassi della riva.	There he had taken long sips of ice-cold water, so much better than the lukewarm, sweetish water of the plain; then he had rummaged among the stones on the shore.	amervolesse
Dò n trat l'era endò jit sù ence el sal bivach e l ge aea moscià a Us-ter n pugn de cùgoles neigres: chègoles de stambech.	Dopo un po' era salito anche lui al bivacco e aveva mostrato ad Us-ter una manciata di chicchi  neri: escrementi di stambecco.	After a while he had also climbed to the bivouac and showed Us-ter a handful of black grains: ibex droppings.	amervolesse
- Chisc... chiò!	- Questi... qui!	- These... here!	amervolesse
- ge aea moscia Aa-gar, te chela che l se fajea sù l piet con chesta cùgoles.	- aveva spiegato il cacciatore, facendo il gesto di spalmarsi i chicchi scuri sul petto.	- explained the hunter, making the gesture of smearing the dark grains on his chest.	amervolesse
Coscita i ge l'aessa fata al nès del stambech: apontin co l'odor de sia chègoles!	Ecco con che cosa avrebbero imbrogliato il naso dello stambecco: con l'odore dei suoi stessi  escrementi!	That's what they would have cheated the ibex's nose with: the smell of its own excrement!	amervolesse
Aa-gar saea inout che la besties salvères fossa ruèdes mìngol dant dal levèr de soreie: les fossa vegnudes da sot en sù dò la valena, les fossa passèdes enlongia l bivach e dò bel pian les  fossa ruèdes sun or del pìcol lech aló apede.	Aa-gar sapeva per esperienza che la selvaggina sarebbe giunta poco prima del sorgere del sole;  gli animali avrebbero percorso la valletta che si inerpicava dal basso, sarebbero passati a breve  distanza dal loro bivacco e poi, sarebbero scesi sulla riva del laghetto vicino.	Aa-gar knew from experience that the game would arrive shortly before sunrise; the animals would travel up the small valley that climbed from below, pass within a short distance of their bivouac and then, descend to the shore of the nearby pond.	amervolesse
Sie eie aessa cernù fora l stambech più gros e no  l l'aessa più molà.	Il suo occhio avrebbe  scelto lo stambecco più grosso e non si sarebbe più staccato da lui.	His eye would pick out the biggest ibex and never leave his side.	amervolesse
Te chela che la bestia se aessa pià per beiver... e chel l'era l moment ló che  manco l stambech aessà abadà a scrévec e odores...	Nell'istante in cui la vittima si  fosse chinata a bere... e quello era il momento nel quale lo stambecco prestava meno attenzione  ai rumori e agli odori...	The instant the victim bent down to drink... and that was the moment when the ibex paid the least attention to noises and smells...	amervolesse
Aa-gar fossa levà sù da tedò l sas e...	Aa-gar si sarebbe alzato da dietro la roccia e...	Aa-gar would get up from behind the rock and...	amervolesse
- Us-ter, aur i eies!	- Us-ter... apri gli occhi!	- Us-ter... open your eyes!	amervolesse
L bez à dat na scassèda te sot la pel: l se à sfregolà i eies e n sgrìjol de freit l l'à fat n mìngol  zitrèr.	Il ragazzo si scosse da sotto la pelle; si stropicciò gli occhi e un brivido di freddo lo fece tremare  un po'.	The boy shook himself out from under his skin; he crinkled his eyes and a cold shiver made him tremble a little.	amervolesse
L'à slongià fora na man e l se à tout fora de tascia n "frut-de-la-tera", e l se l'à metù te  bocia ensema a n pìcol toch de cèrn secia.	Allungò una mano e aff errò un "frutto della terra", che mise in bocca assieme ad una  strisciolina di carne secca.	He stretched out a hand and sliced a 'fruit of the earth', which he placed in his mouth together with a strip of dried meat.	amervolesse
Us-ter l'era stolz de jir a ciacia da soul con sie père.	Us-ter era orgoglioso di partecipare a quell'avventura di caccia solitaria.	Us-ter was proud to participate in that solo hunting adventure.	amervolesse
Pec dis dant, canche sie père ge aea moscià chi monc che ju tel pian se vedea tant dalonc,  anter la nìgoles, e l ge aea dit: "A la ciacia... nos doi demò!", Us-ter béleche no l'era stat bon  de creer.	Quando il padre, pochi giorni prima, gli aveva indicato le montagne che dalla pianura si  scorgevano lontane, fra le nuvole, e gli aveva detto: "A caccia... noi due soli!", non aveva quasi  creduto alle sue orecchie.	When his father, a few days earlier, had pointed to the mountains that could be seen far away in the clouds from the plains and told him: 'Hunting... just the two of us!', he had hardly believed his ears.	amervolesse
Enscin en chela dì, endèna che Aa-gar e i etres ciaciadores jìa sù sui "Monc-che-se-entencde-sanch", l bez l'era semper stat a cèsa a fèr damat coi amisc che stajea te la uties a la bassa,  a spetèr che i ciaciadores vegnissa de outa co la ciacia.	Fino ad allora, quando Aa-gar, in compagnia degli altri cacciatori, saliva sulle "Montagne che si  tingono di sangue", il ragazzo era rimasto a giocare con gli amici che abitavano nelle capanne  della pianura, in attesa che i cacciatori tornassero con la preda.	Until then, when Aa-gar, in the company of the other hunters, climbed the 'Mountains that are tinged with blood', the boy had stayed behind to play with his friends who lived in the huts on the plain, waiting for the hunters to return with their prey.	amervolesse
E ades propio el, l joen Us-ter, l'era con sie père a ciacia de stambeches!	Ed ora proprio lui, il giovane Us-ter, era con suo padre a caccia di stambecchi!	And now he, the young Us-ter, was with his father hunting ibex!	amervolesse
Da soi!	Da soli!	Alone!	amervolesse
L saea ben  demò pecia paroles, chel bez, ma l les aessa pa segur durèdes dutes, e amò de autres l n'aessa emparà, per poder encantèr i amisc co la storia de chela spedizion.	Conosceva  ancora poche parole, il ragazzo, ma le avrebbe usate tutte ed ancora altre ne avrebbe imparate,  per poter aff ascinare gli amici con il racconto di quell'impresa.	He still knew a few words, the boy, but he would use them all, and he would learn even more, to be able to refine his friends with the tale of that feat.	amervolesse
- Us-ter... i rua!	- Us-ter... arrivano!	- Us-ter... they're coming!	amervolesse
La ousc segura del père a Us-ter ge à fat sutèr l cher daìte.	L'ordine secco del padre fece balzare il cuore nel petto del giovane.	The father's dry order made the young man's heart leap in his chest.	amervolesse
Pian pian, per no fèr rumor, l bez  se à tirà apede l'om che tegnìa strent l'archet.	Piano piano, per non fare il minimo rumore, il ragazzo si avvicinò all'uomo che stringeva nervoso l'arco.	Slowly, so as not to make the slightest noise, the boy approached the man who was nervously clutching his bow.	amervolesse
